Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-08-10T19:19:07.919,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:09.414,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:11.914,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:13.407,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:15.898,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:17.390,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:19.898,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:21.387,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:23.870,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:25.370,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:27.878,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:29.365,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:31.855,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:33.353,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:35.854,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:37.339,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:39.829,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:41.329,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:43.832,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:45.317,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:47.804,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:49.305,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:51.816,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:53.294,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:55.786,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:57.287,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:19:59.790,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:01.276,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:03.769,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:05.259,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:07.769,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:09.247,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:11.737,247822.3755,2.312,4.19e-02,23.5
2021-08-10T19:20:13.244,247822.3755,2.312,4.19e-02,23.5
