Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-08-23T16:29:38.772,230616.2315,34.125,0.382,24.5
2021-08-23T16:29:39.447,230616.2608,34.218,0.381,21.3
2021-08-23T16:29:39.491,230616.2298,34.117,0.380,24.5
2021-08-23T16:29:40.002,230616.2426,34.220,0.384,21.1
2021-08-23T16:29:40.245,230616.2317,34.120,0.379,22.4
2021-08-23T16:29:41.043,230616.2360,34.220,0.383,21.1
2021-08-23T16:29:41.082,230616.2267,34.122,0.381,22.6
2021-08-23T16:29:42.090,230616.2446,34.231,0.381,20.9
2021-08-23T16:29:42.409,230616.2211,34.124,0.381,21.5
2021-08-23T16:29:42.714,230616.2283,34.342,0.381,19.3
2021-08-23T16:29:43.105,230616.2208,34.126,0.379,21.4
2021-08-23T16:29:43.447,230616.2245,34.227,0.381,21.8
2021-08-23T16:29:43.814,230616.2129,34.124,0.377,21.1
2021-08-23T16:29:43.910,230616.0948,34.050,0.379,18.7
2021-08-23T16:29:44.529,230616.2073,34.126,0.377,21.0
2021-08-23T16:29:44.693,230616.2177,34.225,0.378,24.6
2021-08-23T16:29:44.995,230616.2135,34.133,0.378,20.9
2021-08-23T16:29:45.575,230616.2255,34.309,0.378,22.1
2021-08-23T16:29:46.208,230616.2134,34.134,0.379,20.8
2021-08-23T16:29:46.246,230616.2260,34.222,0.381,24.3
2021-08-23T16:29:46.737,230616.2451,34.187,0.377,18.7
2021-08-23T16:29:47.051,230616.2329,34.221,0.380,24.3
2021-08-23T16:29:47.626,230616.2338,34.062,0.379,22.6
2021-08-23T16:29:48.174,230616.2339,34.222,0.381,22.8
2021-08-23T16:29:48.645,230616.0908,33.961,0.380,17.3
2021-08-23T16:29:49.106,230616.2383,34.221,0.381,22.7
2021-08-23T16:29:49.318,230616.2233,34.167,0.379,23.9
2021-08-23T16:29:50.025,230616.2345,34.220,0.380,21.7
2021-08-23T16:29:50.115,230616.2223,34.207,0.377,23.0
2021-08-23T16:29:51.737,230616.2301,34.221,0.381,21.9
2021-08-23T16:29:52.387,230616.2236,34.126,0.377,24.4
2021-08-23T16:29:52.624,230616.2253,34.223,0.385,21.3
2021-08-23T16:29:52.954,230621.5552,33.688,0.518,24.2
2021-08-23T16:29:53.408,230621.4687,33.715,0.517,21.0
2021-08-23T16:29:53.459,230621.2774,33.707,0.513,22.5
2021-08-23T16:29:53.916,230621.1128,33.715,0.512,20.8
2021-08-23T16:29:54.241,230620.4554,33.710,0.493,21.6
2021-08-23T16:29:54.328,230620.2223,33.708,0.491,20.3
2021-08-23T16:29:54.761,230620.0058,33.690,0.493,21.6
2021-08-23T16:29:55.183,230619.7531,33.627,0.504,16.5
2021-08-23T16:29:55.591,230619.5526,33.636,0.494,21.0
2021-08-23T16:29:56.155,230619.3082,33.482,0.502,19.6
2021-08-23T16:29:56.267,230619.0761,33.570,0.506,20.9
2021-08-23T16:29:56.972,230618.8207,33.610,0.407,20.7
2021-08-23T16:29:57.065,230618.5786,33.538,0.426,19.9
2021-08-23T16:29:57.837,230618.3214,33.662,0.435,21.1
2021-08-23T16:29:57.930,230618.0696,33.562,0.446,19.0
2021-08-23T16:29:58.388,230617.7899,33.664,0.456,23.1
2021-08-23T16:29:58.906,230617.5241,33.707,0.464,20.0
2021-08-23T16:29:59.418,230617.2445,33.846,0.467,24.3
2021-08-23T16:29:59.557,230616.9794,33.770,0.457,21.9
2021-08-23T16:30:00.181,230616.6931,34.042,0.459,22.8
2021-08-23T16:30:00.679,230616.4276,34.221,0.426,20.6
2021-08-23T16:30:00.751,230615.9895,34.268,0.402,24.5
2021-08-23T16:30:01.135,230616.4316,33.862,0.438,23.4
2021-08-23T16:30:01.385,230616.2721,34.206,0.414,21.7
2021-08-23T16:30:01.829,230615.7916,34.229,0.439,26.1
2021-08-23T16:30:02.649,230616.3029,34.184,0.416,22.0
2021-08-23T16:30:02.914,230616.0197,34.258,0.386,26.2
2021-08-23T16:30:03.389,230616.3695,34.151,0.432,21.4
2021-08-23T16:30:03.442,230616.1042,34.189,0.397,24.5
2021-08-23T16:30:05.261,230616.4706,34.141,0.437,21.3
2021-08-23T16:30:05.345,230616.2117,34.156,0.409,22.6
2021-08-23T16:30:05.629,230616.1632,34.998,0.443,19.8
2021-08-23T16:30:05.799,230616.2766,34.131,0.412,22.9
2021-08-23T16:30:06.137,230615.7890,34.304,0.431,21.0
2021-08-23T16:30:06.523,230616.3264,34.116,0.418,21.6
2021-08-23T16:30:06.595,230616.0245,34.437,0.389,20.8
2021-08-23T16:30:06.909,230616.3536,34.074,0.415,21.9
2021-08-23T16:30:08.550,230616.0904,34.344,0.393,20.3
2021-08-23T16:30:08.920,230616.4017,34.053,0.427,21.4
2021-08-23T16:30:08.967,230615.9914,34.193,0.402,20.5
2021-08-23T16:30:09.127,230616.4074,34.046,0.433,21.1
2021-08-23T16:30:09.364,230616.0421,34.250,0.404,23.1
2021-08-23T16:30:09.983,230616.4279,34.069,0.436,20.1
2021-08-23T16:30:10.600,230616.2483,34.231,0.410,24.7
2021-08-23T16:30:10.656,230616.5388,34.151,0.437,18.3
2021-08-23T16:30:11.164,230616.3065,34.218,0.413,24.5
2021-08-23T16:30:11.540,230615.8565,34.275,0.444,19.6
2021-08-23T16:30:11.966,230616.3346,34.193,0.419,22.8
2021-08-23T16:30:12.339,230615.9297,34.322,0.431,20.0
2021-08-23T16:30:12.592,230616.3499,34.180,0.415,23.1
2021-08-23T16:30:12.994,230615.8814,34.185,0.400,23.4
2021-08-23T16:30:13.425,230616.3919,34.158,0.421,22.1
2021-08-23T16:30:13.931,230616.0349,34.283,0.386,24.1
2021-08-23T16:30:14.213,230616.4198,34.132,0.427,21.8
2021-08-23T16:30:14.776,230616.1332,34.173,0.387,25.1
2021-08-23T16:30:15.161,230616.4719,34.087,0.432,21.4
2021-08-23T16:30:15.560,230616.2175,34.144,0.397,24.7
2021-08-23T16:30:15.831,230616.5103,34.081,0.435,21.4
2021-08-23T16:30:16.192,230616.2723,34.122,0.398,22.8
2021-08-23T16:30:18.036,230615.7788,34.333,0.443,21.2
2021-08-23T16:30:18.077,230616.3057,34.099,0.404,22.9
2021-08-23T16:30:18.460,230615.8594,34.305,0.427,21.0
2021-08-23T16:30:18.722,230616.3675,34.069,0.408,21.7
2021-08-23T16:30:19.014,230616.0782,34.308,0.376,20.4
2021-08-23T16:30:19.270,230616.4091,34.042,0.415,21.6
2021-08-23T16:30:19.357,230616.1595,34.283,0.386,20.9
2021-08-23T16:30:19.943,230616.4839,34.014,0.422,21.2
2021-08-23T16:30:20.304,230616.1318,34.041,0.388,17.9
2021-08-23T16:30:20.629,230616.5361,33.989,0.425,21.1
2021-08-23T16:30:20.919,230616.3580,34.155,0.397,17.4
2021-08-23T16:30:21.129,230615.8082,34.206,0.413,21.0
2021-08-23T16:30:21.609,230616.2876,34.046,0.403,21.9
2021-08-23T16:30:21.897,230615.9338,34.148,0.366,21.0
2021-08-23T16:30:22.587,230616.6068,34.070,0.428,24.7
2021-08-23T16:30:22.629,230616.6128,34.146,0.426,18.1
2021-08-23T16:30:22.960,230616.5375,34.090,0.424,24.3
2021-08-23T16:30:23.398,230616.5373,34.003,0.421,16.9
2021-08-23T16:30:23.946,230616.5114,34.099,0.422,23.0
2021-08-23T16:30:24.314,230616.5089,33.909,0.419,20.4
2021-08-23T16:30:24.869,230616.4912,34.105,0.417,22.9
2021-08-23T16:30:24.976,230616.4388,33.938,0.414,22.6
2021-08-23T16:30:25.723,230616.4820,34.111,0.415,21.8
2021-08-23T16:30:25.831,230616.4925,33.994,0.415,22.8
2021-08-23T16:30:26.208,230616.4635,34.120,0.418,21.9
2021-08-23T16:30:26.577,230616.4694,34.017,0.413,24.7
2021-08-23T16:30:27.372,230616.4494,34.125,0.415,21.3
2021-08-23T16:30:28.056,230616.4568,34.040,0.411,24.3
2021-08-23T16:30:28.104,230616.4293,34.133,0.411,21.2
2021-08-23T16:30:28.643,230616.4090,34.049,0.412,22.3
2021-08-23T16:30:28.998,230616.4163,34.141,0.415,21.1
2021-08-23T16:30:29.404,230616.3975,34.053,0.411,22.4
2021-08-23T16:30:29.973,230616.4006,34.107,0.411,20.2
2021-08-23T16:30:30.329,230616.3857,34.052,0.410,21.4
2021-08-23T16:30:30.684,230616.2834,34.057,0.410,20.1
2021-08-23T16:30:31.010,230616.3870,34.055,0.408,21.4
2021-08-23T16:30:31.342,230616.3969,34.231,0.410,18.2
2021-08-23T16:30:31.412,230616.3764,34.059,0.407,21.0
2021-08-23T16:30:32.065,230616.3803,34.329,0.408,20.5
2021-08-23T16:30:32.330,230616.3823,34.054,0.407,21.0
2021-08-23T16:30:32.710,230616.2670,34.100,0.408,20.7
2021-08-23T16:30:33.107,230616.3804,34.040,0.407,20.8
2021-08-23T16:30:33.781,230616.3869,34.071,0.409,22.9
2021-08-23T16:30:34.088,230616.3738,33.989,0.406,19.6
2021-08-23T16:30:34.157,230616.3892,34.142,0.408,24.4
2021-08-23T16:30:34.586,230616.3525,34.042,0.405,19.9
2021-08-23T16:30:35.138,230616.3761,34.151,0.406,24.2
2021-08-23T16:30:35.735,230616.3734,34.221,0.404,17.5
2021-08-23T16:30:36.207,230616.3733,34.158,0.407,22.5
