Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-07-27T18:29:10.566,230518.0542,2.392,0.160,21.7
2021-07-27T18:29:13.145,230518.0468,2.673,0.155,21.6
2021-07-27T18:29:14.551,230518.0539,2.391,0.162,21.7
2021-07-27T18:29:17.145,230518.0464,2.672,0.154,21.6
2021-07-27T18:29:18.528,230518.0531,2.389,0.158,21.7
2021-07-27T18:29:21.137,230518.0451,2.667,0.153,21.6
2021-07-27T18:29:22.520,230518.0472,2.353,0.161,21.8
2021-07-27T18:29:25.117,230518.0449,2.668,0.151,21.6
2021-07-27T18:29:26.504,230518.0528,2.388,0.160,21.7
2021-07-27T18:29:29.095,230518.0440,2.666,0.151,21.6
2021-07-27T18:29:30.503,230518.0465,2.352,0.162,21.8
2021-07-27T18:29:33.105,230518.0443,2.665,0.151,21.6
2021-07-27T18:29:34.495,230518.0466,2.352,0.164,21.8
2021-07-27T18:29:37.070,230518.0447,2.667,0.152,21.6
2021-07-27T18:29:38.480,230518.0520,2.386,0.159,21.7
2021-07-27T18:29:41.084,230518.0432,2.662,0.152,21.6
2021-07-27T18:29:42.459,230518.0527,2.388,0.160,21.7
2021-07-27T18:29:45.052,230518.0444,2.666,0.150,21.6
2021-07-27T18:29:46.450,230518.0467,2.351,0.161,21.8
2021-07-27T18:29:49.059,230518.0441,2.665,0.152,21.6
2021-07-27T18:29:50.444,230518.0464,2.351,0.160,21.8
2021-07-27T18:29:53.030,230518.0447,2.667,0.153,21.6
2021-07-27T18:29:54.420,230518.0532,2.389,0.159,21.7
2021-07-27T18:29:57.021,230518.0450,2.668,0.150,21.6
2021-07-27T18:29:58.413,230518.0529,2.390,0.158,21.7
2021-07-27T18:30:01.008,230518.0454,2.669,0.150,21.6
2021-07-27T18:30:02.407,230518.0532,2.390,0.157,21.7
2021-07-27T18:30:04.995,230518.0446,2.668,0.151,21.6
2021-07-27T18:30:06.386,230518.0524,2.388,0.161,21.7
2021-07-27T18:30:08.971,230518.0469,2.686,0.148,21.5
2021-07-27T18:30:10.377,230518.0529,2.389,0.156,21.7
2021-07-27T18:30:12.967,230518.0445,2.667,0.151,21.6
2021-07-27T18:30:14.350,230518.0462,2.350,0.162,21.8
2021-07-27T18:30:16.729,230518.0439,2.664,0.151,21.6
2021-07-27T18:30:18.338,230518.0526,2.387,0.156,21.7
2021-07-27T18:30:20.957,230518.0441,2.665,0.150,21.6
2021-07-27T18:30:22.343,230518.0529,2.387,0.157,21.7
2021-07-27T18:30:24.936,230518.0437,2.664,0.151,21.6
2021-07-27T18:30:26.332,230518.0464,2.349,0.160,21.8
2021-07-27T18:30:28.945,230518.0438,2.664,0.152,21.6
2021-07-27T18:30:30.328,230518.0522,2.386,0.159,21.7
2021-07-27T18:30:32.930,230518.0443,2.666,0.152,21.6
2021-07-27T18:30:34.359,230518.0524,2.387,0.158,21.7
2021-07-27T18:30:36.962,230518.0450,2.667,0.149,21.5
2021-07-27T18:30:38.336,230518.0531,2.389,0.157,21.7
2021-07-27T18:30:40.954,230518.0456,2.669,0.150,21.6
2021-07-27T18:30:42.337,230518.0471,2.352,0.158,21.8
2021-07-27T18:30:44.962,230518.0461,2.670,0.150,21.6
2021-07-27T18:30:46.337,230518.0540,2.391,0.158,21.7
2021-07-27T18:30:48.948,230518.0468,2.673,0.147,21.5
2021-07-27T18:30:50.351,230518.0545,2.391,0.154,21.7
2021-07-27T18:30:52.962,230518.0476,2.675,0.150,21.5
2021-07-27T18:30:54.339,230518.0552,2.395,0.156,21.7
2021-07-27T18:30:56.945,230518.0494,2.680,0.149,21.5
2021-07-27T18:30:58.351,230518.0560,2.396,0.155,21.7
2021-07-27T18:31:00.972,230518.0488,2.678,0.148,21.5
2021-07-27T18:31:02.339,230518.0551,2.395,0.154,21.7
2021-07-27T18:31:04.959,230518.0485,2.678,0.148,21.5
2021-07-27T18:31:06.363,230518.0548,2.393,0.154,21.7
2021-07-27T18:31:08.964,230518.0502,2.694,0.144,21.4
2021-07-27T18:31:10.355,230518.0548,2.393,0.153,21.7
2021-07-27T18:31:12.961,230518.0471,2.674,0.146,21.6
2021-07-27T18:31:14.367,230518.0476,2.354,0.156,21.8
2021-07-27T18:31:16.966,230518.0481,2.687,0.146,21.4
2021-07-27T18:31:18.356,230518.0529,2.387,0.153,21.7
2021-07-27T18:31:20.968,230518.0460,2.681,0.146,21.5
2021-07-27T18:31:22.367,230518.0519,2.385,0.155,21.7
2021-07-27T18:31:24.975,230518.0438,2.664,0.147,21.6
2021-07-27T18:31:26.361,230518.0456,2.349,0.157,21.8
2021-07-27T18:31:28.962,230518.0430,2.661,0.145,21.6
2021-07-27T18:31:30.368,230518.0452,2.348,0.154,21.8
2021-07-27T18:31:32.979,230518.0417,2.658,0.147,21.6
2021-07-27T18:31:34.376,230518.0449,2.347,0.157,21.8
2021-07-27T18:31:36.967,230518.0410,2.655,0.145,21.6
2021-07-27T18:31:38.373,230518.0434,2.342,0.158,21.8
2021-07-27T18:31:40.987,230518.0392,2.650,0.147,21.6
2021-07-27T18:31:42.370,230518.0489,2.377,0.154,21.8
2021-07-27T18:31:44.963,230518.0393,2.649,0.149,21.6
2021-07-27T18:31:46.378,230518.0480,2.375,0.155,21.8
2021-07-27T18:31:48.977,230518.0392,2.661,0.146,21.5
2021-07-27T18:31:50.365,230518.0412,2.337,0.157,21.9
2021-07-27T18:31:52.967,230518.0361,2.641,0.145,21.6
2021-07-27T18:31:54.374,230518.0406,2.334,0.157,21.9
2021-07-27T18:31:56.995,230518.0333,2.636,0.146,21.7
2021-07-27T18:31:58.371,230518.0452,2.367,0.155,21.8
2021-07-27T18:32:00.973,230518.0340,2.635,0.148,21.7
2021-07-27T18:32:02.372,230518.0454,2.367,0.157,21.8
2021-07-27T18:32:05.043,230518.0333,2.634,0.150,21.7
2021-07-27T18:32:06.396,230518.0449,2.367,0.156,21.8
2021-07-27T18:32:09.038,230518.0336,2.634,0.147,21.7
2021-07-27T18:32:10.405,230518.0401,2.333,0.159,21.9
2021-07-27T18:32:12.997,230518.0344,2.636,0.147,21.6
2021-07-27T18:32:14.372,230518.0404,2.333,0.158,21.9
2021-07-27T18:32:17.019,230518.0342,2.636,0.148,21.7
2021-07-27T18:32:18.393,230518.0455,2.368,0.155,21.8
2021-07-27T18:32:21.000,230518.0342,2.636,0.147,21.7
2021-07-27T18:32:22.383,230518.0459,2.369,0.157,21.8
2021-07-27T18:32:24.975,230518.0344,2.636,0.148,21.7
2021-07-27T18:32:26.376,230518.0408,2.335,0.158,21.9
2021-07-27T18:32:28.993,230518.0348,2.638,0.147,21.6
2021-07-27T18:32:30.383,230518.0463,2.370,0.154,21.8
2021-07-27T18:32:32.979,230518.0358,2.639,0.147,21.6
2021-07-27T18:32:34.400,230518.0409,2.335,0.158,21.9
2021-07-27T18:32:36.993,230518.0353,2.639,0.146,21.6
