Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-07-23T14:38:48.724,250071.7187,1.937,0.283,38.4
2021-07-23T14:38:51.358,250071.7283,2.034,0.240,33.4
2021-07-23T14:38:52.730,250071.7184,1.937,0.283,37.9
2021-07-23T14:38:55.344,250071.7281,2.033,0.240,33.2
2021-07-23T14:38:56.751,250071.7186,1.937,0.281,37.8
2021-07-23T14:38:59.372,250071.7281,2.034,0.241,33.6
2021-07-23T14:39:00.763,250071.7184,1.937,0.283,38.4
2021-07-23T14:39:03.397,250071.7277,2.033,0.244,33.5
2021-07-23T14:39:04.769,250071.7183,1.938,0.284,38.9
2021-07-23T14:39:07.400,250071.7279,2.032,0.243,33.8
2021-07-23T14:39:08.784,250071.7183,1.938,0.283,37.9
2021-07-23T14:39:11.406,250071.7279,2.031,0.245,33.9
2021-07-23T14:39:12.808,250071.7184,1.939,0.286,38.5
2021-07-23T14:39:15.432,250071.7280,2.030,0.246,33.7
2021-07-23T14:39:16.821,250071.7184,1.938,0.284,38.7
2021-07-23T14:39:19.434,250071.7279,2.031,0.244,34.1
2021-07-23T14:39:20.833,250071.7182,1.939,0.285,39.4
2021-07-23T14:39:23.460,250071.7279,2.031,0.245,33.8
2021-07-23T14:39:24.844,250071.7183,1.939,0.282,38.2
2021-07-23T14:39:27.461,250071.7277,2.030,0.247,33.9
2021-07-23T14:39:28.856,250071.7183,1.938,0.285,38.1
2021-07-23T14:39:31.485,250071.7279,2.032,0.244,33.7
2021-07-23T14:39:32.886,250071.7185,1.938,0.282,37.9
2021-07-23T14:39:35.486,250071.7280,2.033,0.241,33.6
2021-07-23T14:39:36.881,250071.7175,1.938,0.284,37.9
2021-07-23T14:39:39.514,250071.7280,2.033,0.242,33.4
2021-07-23T14:39:40.894,250071.7186,1.937,0.282,38.2
2021-07-23T14:39:43.518,250071.7281,2.034,0.237,33.3
2021-07-23T14:39:44.907,250071.7185,1.937,0.283,37.9
2021-07-23T14:39:47.542,250071.7278,2.035,0.240,33.1
2021-07-23T14:39:48.922,250071.7187,1.937,0.280,37.9
2021-07-23T14:39:51.537,250071.7283,2.036,0.236,33.2
2021-07-23T14:39:52.931,250071.7187,1.937,0.278,37.5
2021-07-23T14:39:55.554,250071.7283,2.037,0.235,33.0
2021-07-23T14:39:56.944,250071.7187,1.937,0.278,36.9
2021-07-23T14:39:59.559,250071.7284,2.038,0.231,32.9
2021-07-23T14:40:00.958,250071.7187,1.937,0.275,37.2
2021-07-23T14:40:03.587,250071.7284,2.037,0.232,32.6
2021-07-23T14:40:04.972,250071.7188,1.937,0.279,37.1
2021-07-23T14:40:07.586,250071.7285,2.037,0.236,32.7
2021-07-23T14:40:08.981,250071.7187,1.937,0.278,37.0
2021-07-23T14:40:11.613,250071.7283,2.037,0.234,32.9
2021-07-23T14:40:12.995,250071.7185,1.937,0.277,37.3
2021-07-23T14:40:15.610,250071.7282,2.037,0.236,32.8
2021-07-23T14:40:17.023,250071.7178,1.938,0.277,37.6
2021-07-23T14:40:19.628,250071.7284,2.037,0.236,32.8
2021-07-23T14:40:21.019,250071.7187,1.937,0.277,36.8
2021-07-23T14:40:23.626,250071.7280,2.038,0.236,32.9
2021-07-23T14:40:25.029,250071.7187,1.937,0.279,37.2
2021-07-23T14:40:27.650,250071.7282,2.038,0.234,33.1
2021-07-23T14:40:29.043,250071.7180,1.938,0.276,36.8
2021-07-23T14:40:31.658,250071.7285,2.039,0.233,32.4
2021-07-23T14:40:33.058,250071.7187,1.937,0.280,36.5
2021-07-23T14:40:35.684,250071.7285,2.039,0.234,32.5
2021-07-23T14:40:37.068,250071.7188,1.937,0.275,36.1
2021-07-23T14:40:39.681,250071.7283,2.039,0.231,32.5
2021-07-23T14:40:41.078,250071.7186,1.936,0.278,36.4
2021-07-23T14:40:43.731,250071.7282,2.039,0.233,32.4
2021-07-23T14:40:45.147,250071.7179,1.938,0.279,36.9
2021-07-23T14:40:47.773,250071.7282,2.039,0.233,32.8
2021-07-23T14:40:49.118,250071.7187,1.937,0.279,36.8
2021-07-23T14:40:51.803,250071.7271,2.022,0.235,32.4
2021-07-23T14:40:53.130,250071.7187,1.937,0.277,37.0
2021-07-23T14:40:55.733,250071.7281,2.038,0.232,32.6
2021-07-23T14:40:57.126,250071.7185,1.937,0.276,36.5
2021-07-23T14:40:59.757,250071.7281,2.038,0.234,32.8
2021-07-23T14:41:01.139,250071.7186,1.937,0.279,37.1
2021-07-23T14:41:03.759,250071.7282,2.037,0.234,33.0
2021-07-23T14:41:05.141,250071.7186,1.937,0.280,37.7
2021-07-23T14:41:07.780,250071.7281,2.036,0.237,32.9
2021-07-23T14:41:09.162,250071.7186,1.937,0.282,37.2
2021-07-23T14:41:11.772,250071.7281,2.036,0.240,33.1
2021-07-23T14:41:13.175,250071.7188,1.936,0.282,38.1
2021-07-23T14:41:15.792,250071.7278,2.036,0.241,32.9
2021-07-23T14:41:17.187,250071.7185,1.936,0.284,37.2
2021-07-23T14:41:19.797,250071.7277,2.035,0.239,33.1
2021-07-23T14:41:21.203,250071.7186,1.936,0.281,37.3
2021-07-23T14:41:23.818,250071.7279,2.036,0.238,32.9
2021-07-23T14:41:25.211,250071.7187,1.937,0.285,37.7
2021-07-23T14:41:27.825,250071.7280,2.035,0.242,33.3
2021-07-23T14:41:29.223,250071.7187,1.937,0.282,38.7
2021-07-23T14:41:31.847,250071.7279,2.035,0.241,33.1
2021-07-23T14:41:33.248,250071.7186,1.937,0.284,38.4
2021-07-23T14:41:35.849,250071.7278,2.035,0.242,33.0
2021-07-23T14:41:37.242,250071.7187,1.936,0.283,37.2
2021-07-23T14:41:39.869,250071.7278,2.035,0.240,33.0
2021-07-23T14:41:41.257,250071.7186,1.937,0.282,37.7
2021-07-23T14:41:43.872,250071.7279,2.036,0.241,33.1
2021-07-23T14:41:45.268,250071.7177,1.938,0.284,37.5
2021-07-23T14:41:47.908,250071.7279,2.036,0.240,33.2
2021-07-23T14:41:49.284,250071.7177,1.938,0.284,38.1
2021-07-23T14:41:51.891,250071.7278,2.035,0.241,33.1
2021-07-23T14:41:53.291,250071.7186,1.937,0.285,37.8
2021-07-23T14:41:55.915,250071.7277,2.035,0.241,33.5
2021-07-23T14:41:57.304,250071.7186,1.937,0.284,39.0
2021-07-23T14:41:59.916,250071.7279,2.035,0.244,33.4
2021-07-23T14:42:01.320,250071.7178,1.938,0.290,37.3
2021-07-23T14:42:03.945,250071.7278,2.034,0.246,33.3
2021-07-23T14:42:05.333,250071.7187,1.937,0.286,38.2
2021-07-23T14:42:07.937,250071.7278,2.034,0.245,33.3
2021-07-23T14:42:09.338,250071.7188,1.936,0.289,37.2
2021-07-23T14:42:11.960,250071.7278,2.034,0.246,33.3
2021-07-23T14:42:13.347,250071.7186,1.937,0.287,37.9
2021-07-23T14:42:15.966,250071.7278,2.034,0.244,33.6
2021-07-23T14:42:17.360,250071.7187,1.936,0.287,38.1
2021-07-23T14:42:19.985,250071.7268,2.014,0.248,33.8
2021-07-23T14:42:21.310,250071.7177,1.938,0.288,36.6
2021-07-23T14:42:23.983,250071.7279,2.033,0.243,33.4
2021-07-23T14:42:25.385,250071.7186,1.936,0.286,38.3
2021-07-23T14:42:28.007,250071.7277,2.034,0.242,33.3
2021-07-23T14:42:29.398,250071.7187,1.937,0.287,38.4
2021-07-23T14:42:32.010,250071.7277,2.033,0.244,33.8
2021-07-23T14:42:33.416,250071.7177,1.938,0.286,39.0
2021-07-23T14:42:36.029,250071.7278,2.033,0.244,33.5
2021-07-23T14:42:37.425,250071.7188,1.937,0.286,38.0
2021-07-23T14:42:40.029,250071.7278,2.033,0.245,33.6
2021-07-23T14:42:41.426,250071.7188,1.937,0.286,38.4
2021-07-23T14:42:44.054,250071.7270,2.013,0.247,33.7
2021-07-23T14:42:45.439,250071.7190,1.937,0.284,37.9
2021-07-23T14:42:48.072,250071.7279,2.033,0.243,33.5
2021-07-23T14:42:49.457,250071.7190,1.937,0.285,38.0
2021-07-23T14:42:52.078,250071.7279,2.033,0.243,33.4
2021-07-23T14:42:53.468,250071.7189,1.936,0.284,38.2
2021-07-23T14:42:56.078,250071.7278,2.033,0.244,33.4
2021-07-23T14:42:57.483,250071.7189,1.936,0.285,37.5
2021-07-23T14:43:00.102,250071.7279,2.033,0.240,33.2
2021-07-23T14:43:01.490,250071.7190,1.936,0.282,37.7
2021-07-23T14:43:04.095,250071.7279,2.035,0.241,32.9
2021-07-23T14:43:05.499,250071.7188,1.936,0.286,37.6
2021-07-23T14:43:08.128,250071.7279,2.035,0.242,32.9
2021-07-23T14:43:09.519,250071.7189,1.936,0.283,37.7
2021-07-23T14:43:12.126,250071.7277,2.035,0.239,32.8
2021-07-23T14:43:13.526,250071.7187,1.936,0.285,37.3
2021-07-23T14:43:16.154,250071.7278,2.036,0.242,33.3
2021-07-23T14:43:17.535,250071.7187,1.936,0.282,37.9
2021-07-23T14:43:20.128,250071.7278,2.037,0.237,32.9
2021-07-23T14:43:21.536,250071.7186,1.936,0.284,37.0
2021-07-23T14:43:24.160,250071.7278,2.037,0.239,32.8
2021-07-23T14:43:25.556,250071.7187,1.937,0.284,36.8
2021-07-23T14:43:28.162,250071.7278,2.038,0.237,32.5
2021-07-23T14:43:29.565,250071.7186,1.936,0.281,36.9
2021-07-23T14:43:32.185,250071.7278,2.038,0.237,32.8
2021-07-23T14:43:33.581,250071.7179,1.937,0.283,36.5
2021-07-23T14:43:36.177,250071.7280,2.038,0.235,32.8
2021-07-23T14:43:37.588,250071.7188,1.936,0.281,35.8
2021-07-23T14:43:40.205,250071.7281,2.040,0.235,32.1
2021-07-23T14:43:41.600,250071.7182,1.938,0.284,36.8
2021-07-23T14:43:44.214,250071.7283,2.039,0.238,32.4
2021-07-23T14:43:45.615,250071.7190,1.936,0.281,36.5
2021-07-23T14:43:48.311,250071.7282,2.040,0.234,32.3
2021-07-23T14:43:49.643,250071.7188,1.937,0.282,36.5
2021-07-23T14:43:52.273,250071.7281,2.040,0.234,32.6
2021-07-23T14:43:53.649,250071.7188,1.936,0.282,36.7
2021-07-23T14:43:56.247,250071.7283,2.040,0.234,32.4
2021-07-23T14:43:57.654,250071.7181,1.938,0.281,36.0
2021-07-23T14:44:00.261,250071.7270,2.024,0.238,32.8
2021-07-23T14:44:01.665,250071.7188,1.936,0.279,36.7
2021-07-23T14:44:04.275,250071.7284,2.040,0.234,32.7
2021-07-23T14:44:05.675,250071.7190,1.937,0.277,36.1
2021-07-23T14:44:08.284,250071.7283,2.041,0.232,32.2
2021-07-23T14:44:09.687,250071.7186,1.936,0.277,36.1
2021-07-23T14:44:12.301,250071.7284,2.041,0.229,32.4
2021-07-23T14:44:13.683,250071.7188,1.937,0.274,35.6
2021-07-23T14:44:16.297,250071.7284,2.041,0.228,32.3
2021-07-23T14:44:17.715,250071.7184,1.937,0.277,36.2
2021-07-23T14:44:20.308,250071.7285,2.041,0.230,32.2
2021-07-23T14:44:21.709,250071.7188,1.937,0.275,36.2
2021-07-23T14:44:24.321,250071.7282,2.041,0.229,32.2
2021-07-23T14:44:25.720,250071.7187,1.937,0.277,36.1
2021-07-23T14:44:28.350,250071.7281,2.041,0.230,32.1
2021-07-23T14:44:29.742,250071.7187,1.937,0.277,36.5
2021-07-23T14:44:32.360,250071.7283,2.041,0.230,32.2
2021-07-23T14:44:33.759,250071.7187,1.937,0.275,35.8
2021-07-23T14:44:36.382,250071.7282,2.041,0.232,32.3
2021-07-23T14:44:37.768,250071.7187,1.936,0.277,36.3
2021-07-23T14:44:40.381,250071.7283,2.041,0.231,32.6
2021-07-23T14:44:41.773,250071.7182,1.938,0.278,35.9
2021-07-23T14:44:44.380,250071.7268,2.025,0.236,32.6
2021-07-23T14:44:45.776,250071.7187,1.936,0.279,36.4
2021-07-23T14:44:48.413,250071.7282,2.040,0.232,32.6
2021-07-23T14:44:49.797,250071.7185,1.936,0.278,36.2
